agency,facility,legs,chargeable_legs,revenue
"General Steamship","LDC Port Allen",25,25,262500
"General Steamship","Zen-Noh",25,25,262500
"General Steamship","Reserve Buoys",23,23,241500
"General Steamship","Cooper Darrow",15,15,157500
"General Steamship","ARTCO Buoys",14,14,147000
"General Steamship","Cargill Reserve",14,14,147000
"General Steamship","Mile 112 Buoys",13,13,136500
"General Steamship","Cargill Westwego",12,12,126000
"General Steamship","Stolthaven",34,34,119000
"General Steamship","AST Meraux Buoys",11,11,115500
"General Steamship","Convent Marine Terminal",11,11,115500
"General Steamship","ABT Burnside",8,8,84000
"General Steamship","ADM AMA",8,8,84000
"General Steamship","AST Chalmette Buoys",7,7,73500
"General Steamship","AST St James",7,7,73500
"General Steamship","ADM Destrehan",6,6,63000
"General Steamship","Vulcan St Rose Mooring",6,6,63000
"General Steamship","MPLX Garyville",17,17,59500
"General Steamship","Occidental Taft",14,14,49000
"General Steamship","Bunge Destrehan",4,4,42000
"General Steamship","MPLX Mt Airy",12,12,42000
"General Steamship","ADM Reserve",3,3,31500
"General Steamship","Cooper Dockside",3,3,31500
"General Steamship","KMI Harvey",9,9,31500
"General Steamship","Plains St James",9,9,31500
"General Steamship","IMTT St Rose",8,8,28000
"General Steamship","IMTT Geismar",6,6,21000
"General Steamship","Shintech",4,4,14000
"General Steamship","CII Rain Gramercy",1,1,10500
"General Steamship","MGMT",1,1,10500
"General Steamship","Mile 111 Buoys",1,1,10500
"General Steamship","NuStar St James",3,3,10500
"General Steamship","Valero St Charles",3,3,10500
"General Steamship","Yara Fertilizer",1,1,10500
"General Steamship","AST Chalmette Slip",2,2,10000
"General Steamship","Americas Styrenics",2,2,7000
"General Steamship","Blackwater Westwego",2,2,7000
"General Steamship","Dow Taft",2,2,7000
"General Steamship","Exxon Baton Rouge",2,2,7000
"General Steamship","IMTT Gretna",2,2,7000
"General Steamship","LBC Sunshine",2,2,7000
"General Steamship","Harmony St",1,1,5000
"General Steamship","AMSTAR",1,1,3500
"General Steamship","Dow Missouri",1,1,3500
"General Steamship","KMI St Gabriel",1,1,3500
"General Steamship","Willow Glen",1,1,3500
"General Steamship","(never berthed)",51,0,0
"Gulf Harbor","MPLX Garyville",43,43,150500
"Gulf Harbor","Exxon Baton Rouge",23,23,80500
"Gulf Harbor","Valero St Charles",23,23,80500
"Gulf Harbor","Shell Norco",22,22,77000
"Gulf Harbor","Cooper Darrow",7,7,73500
"Gulf Harbor","Reserve Buoys",5,5,52500
"Gulf Harbor","IMTT St Rose",14,14,49000
"Gulf Harbor","PBF Chalmette",14,14,49000
"Gulf Harbor","Cooper Dockside",3,3,31500
"Gulf Harbor","CFI Donaldsonville",7,7,24500
"Gulf Harbor","ABT Burnside",2,2,21000
"Gulf Harbor","Blackwater Harvey",6,6,21000
"Gulf Harbor","Chevron Empire",6,6,21000
"Gulf Harbor","Valero Meraux",6,6,21000
"Gulf Harbor","ARTCO Destrehan Buoys",2,2,14000
"Gulf Harbor","DRAX",4,4,14000
"Gulf Harbor","ADM Destrehan",1,1,10500
"Gulf Harbor","AST St James",1,1,10500
"Gulf Harbor","Apex Mt Airy",3,3,10500
"Gulf Harbor","Plains St James",3,3,10500
"Gulf Harbor","Zen-Noh",1,1,10500
"Gulf Harbor","Baton Rouge General Cargo",2,2,7000
"Gulf Harbor","Cornerstone",2,2,7000
"Gulf Harbor","Dow Missouri",2,2,7000
"Gulf Harbor","Genesis Baton Rouge",2,2,7000
"Gulf Harbor","MPLX Mt Airy",2,2,7000
"Gulf Harbor","Vulcan St Rose Mooring",1,1,3500
"Gulf Harbor","(never berthed)",4,0,0
"Gulf Inland","Noranda Alumina",126,126,1323000
"Gulf Inland","AST St James",47,47,493500
"Gulf Inland","Valero St Charles",136,136,476000
"Gulf Inland","CII Rain Gramercy",44,44,462000
"Gulf Inland","AST Meraux Buoys",35,35,367500
"Gulf Inland","Reserve Buoys",33,33,346500
"Gulf Inland","Mile 110 Buoys",25,25,262500
"Gulf Inland","Cargill Reserve",21,21,220500
"Gulf Inland","Valero Meraux",51,51,178500
"Gulf Inland","Cooper Dockside",14,14,147000
"Gulf Inland","CHS Myrtle Grove",13,13,136500
"Gulf Inland","ARTCO Destrehan Buoys",11,11,115500
"Gulf Inland","AST Arabi Dolphins",11,11,115500
"Gulf Inland","Cooper Darrow",10,10,105000
"Gulf Inland","AST Chalmette Buoys",8,8,84000
"Gulf Inland","IMTT St Rose",21,21,73500
"Gulf Inland","Zen-Noh",7,7,73500
"Gulf Inland","ADM AMA",6,6,63000
"Gulf Inland","ADM Destrehan",5,5,52500
"Gulf Inland","Bunge Destrehan",5,5,52500
"Gulf Inland","CII Rain Chalmette",4,4,42000
"Gulf Inland","Convent Marine Terminal",4,4,42000
"Gulf Inland","AST Chalmette Slip",8,8,40000
"Gulf Inland","ARTCO Buoys",3,3,31500
"Gulf Inland","UBT Davant",3,3,31500
"Gulf Inland","AST Globalplex",5,5,25000
"Gulf Inland","MPLX Garyville",7,7,24500
"Gulf Inland","ABT Burnside",2,2,21000
"Gulf Inland","ADM Reserve",2,2,21000
"Gulf Inland","Cargill Westwego",2,2,21000
"Gulf Inland","MGMT",2,2,21000
"Gulf Inland","Mile 112 Buoys",2,2,21000
"Gulf Inland","Vulcan St Rose Mooring",2,2,21000
"Gulf Inland","Blackwater Westwego",3,3,10500
"Gulf Inland","DRAX",1,1,10500
"Gulf Inland","Exxon Baton Rouge",3,3,10500
"Gulf Inland","Genesis Baton Rouge",3,3,10500
"Gulf Inland","IMTT Gretna",3,3,10500
"Gulf Inland","LDC Port Allen",1,1,10500
"Gulf Inland","Shell Norco",3,3,10500
"Gulf Inland","7th Street",1,1,5000
"Gulf Inland","Harmony St",1,1,5000
"Gulf Inland","Nashville Ave",1,1,5000
"Gulf Inland","Baton Rouge General Cargo",1,1,3500
"Gulf Inland","Cornerstone",1,1,3500
"Gulf Inland","Dow Missouri",1,1,3500
"Gulf Inland","KMI Harvey",1,1,3500
"Gulf Inland","MPLX Mt Airy",1,1,3500
"Gulf Inland","Magellan Marrero",1,1,3500
"Gulf Inland","PBF Chalmette",1,1,3500
"Gulf Inland","Plains St James",1,1,3500
"Gulf Inland","Willow Glen",1,1,3500
"Gulf Inland","(never berthed)",13,0,0
"HOST","Convent Marine Terminal",256,256,2688000
"HOST","UBT Davant",223,223,2341500
"HOST","ABT Burnside",86,86,903000
"HOST","AST St James",80,80,840000
"HOST","DRAX",66,66,693000
